Loading parameters

Initial system energy
-42776.47783422754 kJ/mol

Energy minimization: 5000 steps
-42776.913315034064 kJ/mol

Generate initial velocities

MD run: 125000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
0.8%	1000	1.0000000000000007	-36778.04365613067	234.45354901253833	0	--
1.6%	2000	1.9999999999998905	-35914.222688436595	271.7177406875323	353	0:30
2.4%	3000	2.9999999999997806	-34999.011523585184	294.9505332808025	355	0:29
3.2%	4000	3.9999999999996705	-34613.171966969516	291.9310400479935	344	0:30
4.0%	5000	5.000000000000004	-33954.81916985207	289.0882657735941	329	0:31
4.8%	6000	6.000000000000338	-34301.45115400989	305.86901571809693	333	0:30
5.6%	7000	7.000000000000672	-34292.37599443529	298.5082639134664	336	0:30
6.4%	8000	8.000000000001005	-34046.827855960015	305.7287154891348	335	0:30
7.2%	9000	9.000000000000451	-33839.865623430494	310.27637208358976	334	0:30
8.0%	10000	9.999999999999897	-33914.47719180983	307.637506653982	330	0:30
8.8%	11000	10.999999999999343	-34166.39041988207	309.21597272823425	332	0:29
9.6%	12000	11.999999999998789	-33816.9416221049	306.240590505161	331	0:29
10.4%	13000	12.999999999998234	-33910.378402471106	313.67997291584425	330	0:29
11.2%	14000	13.99999999999768	-33882.4429683506	302.43978479836994	330	0:29
12.0%	15000	14.999999999997126	-34105.21583212058	306.8878504232208	329	0:28
12.8%	16000	15.999999999996572	-34122.65597227716	293.1097853490146	328	0:28
13.6%	17000	16.999999999997794	-34397.33755164266	301.74457412748876	328	0:28
14.4%	18000	17.999999999999016	-34091.53839241732	296.3365803380698	328	0:28
15.2%	19000	19.000000000000238	-34217.90509967267	297.57060017053243	328	0:27
16.0%	20000	20.00000000000146	-34376.318715817266	296.12540581441067	328	0:27
16.8%	21000	21.000000000002682	-34284.167680560844	303.7458835505927	328	0:27
17.6%	22000	22.000000000003904	-34129.29331384646	306.3342763519452	329	0:27
18.4%	23000	23.000000000005127	-34119.22232750719	303.9665652592287	329	0:26
19.2%	24000	24.00000000000635	-33944.676771439816	310.729559792492	330	0:26
20.0%	25000	25.00000000000757	-33831.897327018174	303.91088367340757	329	0:26
20.8%	26000	26.000000000008793	-34264.86883333787	302.1759349520171	329	0:26
21.6%	27000	27.000000000010015	-34145.096738843335	310.4078956900009	329	0:25
22.4%	28000	28.000000000011237	-34011.29206164344	291.58410754309784	329	0:25
23.2%	29000	29.00000000001246	-33888.31382380266	300.7791123656117	330	0:25
24.0%	30000	30.00000000001368	-34056.51052224824	298.65252005017015	328	0:25
24.8%	31000	31.000000000014904	-34089.122090749384	306.7770729681119	328	0:24
25.6%	32000	32.00000000001612	-33960.684807858226	305.64626304755365	328	0:24
26.4%	33000	33.00000000001379	-34074.7583117145	299.17468948699775	328	0:24
27.2%	34000	34.00000000001146	-33993.364943231805	300.63300025961865	328	0:24
28.0%	35000	35.00000000000913	-34113.5555092476	299.3403512361901	327	0:23
28.8%	36000	36.0000000000068	-34304.18549722989	308.7752251822891	327	0:23
29.6%	37000	37.00000000000447	-34090.57582106884	295.6911853103421	327	0:23
30.4%	38000	38.00000000000214	-34336.16769005047	309.9669816354002	327	0:22
31.2%	39000	38.99999999999981	-34226.8755714795	295.10457408992625	327	0:22
32.0%	40000	39.99999999999748	-34308.21942299616	307.86159037727504	327	0:22
32.8%	41000	40.99999999999515	-34306.2365802319	296.03012240268987	327	0:22
33.6%	42000	41.999999999992816	-34177.63462546439	296.9387429048536	327	0:21
34.4%	43000	42.999999999990486	-34065.261118442155	294.69851299515784	327	0:21
35.2%	44000	43.999999999988155	-34079.080268230406	299.0246183547496	327	0:21
